batch=1/10000 batch_time=39.2ms limit=10000 offset=0
batch=2/10000 batch_time=81.6ms limit=20000 offset=10000
batch=3/10000 batch_time=127.1ms limit=30000 offset=20000
batch=4/10000 batch_time=188.3ms limit=40000 offset=30000
batch=5/10000 batch_time=198.1ms limit=50000 offset=40000
batch=6/10000 batch_time=252.1ms limit=60000 offset=50000
batch=7/10000 batch_time=309.4ms limit=70000 offset=60000
batch=8/10000 batch_time=327.4ms limit=80000 offset=70000
batch=9/10000 batch_time=404.0ms limit=90000 offset=80000
batch=10/10000 batch_time=402.9ms limit=100000 offset=90000
batch=11/10000 batch_time=451.2ms limit=110000 offset=100000
batch=12/10000 batch_time=532.7ms limit=120000 offset=110000
batch=13/10000 batch_time=550.0ms limit=130000 offset=120000
batch=14/10000 batch_time=609.3ms limit=140000 offset=130000
batch=15/10000 batch_time=598.5ms limit=150000 offset=140000
batch=16/10000 batch_time=634.7ms limit=160000 offset=150000
batch=17/10000 batch_time=668.4ms limit=170000 offset=160000
batch=18/10000 batch_time=721.0ms limit=180000 offset=170000
batch=19/10000 batch_time=824.1ms limit=190000 offset=180000
batch=20/10000 batch_time=826.0ms limit=200000 offset=190000
batch=21/10000 batch_time=846.1ms limit=210000 offset=200000
batch=22/10000 batch_time=892.3ms limit=220000 offset=210000
batch=23/10000 batch_time=925.3ms limit=230000 offset=220000
batch=24/10000 batch_time=971.9ms limit=240000 offset=230000
batch=25/10000 batch_time=1022.2ms limit=250000 offset=240000
batch=26/10000 batch_time=1165.0ms limit=260000 offset=250000
batch=27/10000 batch_time=1122.8ms limit=270000 offset=260000
batch=28/10000 batch_time=1122.0ms limit=280000 offset=270000
batch=29/10000 batch_time=1205.7ms limit=290000 offset=280000
batch=30/10000 batch_time=1243.2ms limit=300000 offset=290000
batch=31/10000 batch_time=1250.8ms limit=310000 offset=300000
batch=32/10000 batch_time=1326.2ms limit=320000 offset=310000
